ANA,34
ARI,21
ATL,86
BAL,49
BOS,79
CHC,48
CHW,25
CIN,47
CLE,56
COL,10
DET,49
FLA,17
HOU,40
KCR,39
LAD,111
MIL,18
MIN,42
NYM,47
NYY,195
OAK,70
PHI,55
PIT,41
SDP,16
SEA,17
SFG,84
STL,121
TBD,15
TEX,25
TOR,33
WSN,16
